"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"76","Rangerjoe63Dot","745672323596836864",2017-12-13 03:10:16,"940780886777200640","#NYTneedle https://t.co/zZ75NXvrgq",0,0,TRUE,"940780117567070208",FALSE,NA,NA,NA,NA,"und","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/williamlegate/…","https://twitter.com/williamlegate/status/940780117567070208",NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","thekgb","860712740247273472",2017-12-13 03:09:19,"940780644992417792","#NYTneedle is a cursed image to me, tbh",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","andrew_ranallo","892484536566767619",2017-12-13 03:08:32,"940780447012864001","Swing left, sweet chariot. #nytneedle #alsen",2,10,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nytneedle alsen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","sajidswerve","6872872",2017-12-13 03:08:26,"940780422841200640","Getting the #NYTNeedle tattooed on my wrists",0,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","neilrmoss","110306530",2017-12-13 03:08:04,"940780331149471744","Soon all newspapers will be shut down and we'll just be left with the #NYTneedle.",1,3,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","mcjac0b","32850927",2017-12-13 03:06:58,"940780055621455874","@aegies The math looks in his favor. #NYTneedle",0,0,FALSE,NA,FALSE,NA,"940777177598930944","7125992","aegies","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"aegies","7125992",NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","albertocairo","34255829",2017-12-13 03:06:40,"940779978588909568","When I was a kid, my parents complained that I wasted too much time staring at a TV. Now that I'm a parent, my kids… https://t.co/FMDjqPeI0T",1,19,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/940779978588909568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","vlsdo","950052596",2017-12-13 03:05:51,"940779773667799041","Is the  #NYTNeedle a few minutes behind fivethirtyeight? I can't figure out out and too nervous to think clearly",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Monkiejens","1511952991",2017-12-13 03:04:29,"940779430384869376","THE NEEDLE JUST CHANGED #AlabamaSenateElection #NYTNEEDLE",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AlabamaSenateElection NYTNEEDLE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","BryanLowry3","860712752",2017-12-13 03:02:49,"940779010073776128","This one goes out to @ws_missouri https://t.co/PvZTYfGKRZ #NYTNeedle",0,3,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"youtube.com/watch?v=EgNgvC…","https://www.youtube.com/watch?v=EgNgvCLRqWc","ws_missouri","1115684959",NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
